ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Body_Alias,Attribute_Byline_Description,Kuenstler,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_30161,theater samt&sonders,theater samt & sonders,,?,Winterthur,,?,ZH,CH,x,,x,,a,?,,,,,x,x
AC_30162,Winterthurer Marionetten,,,x,Winterthur,,Winterthur: Puppentheater im Waaghaus,ZH,CH,www.theaterimwaaghaus.ch,,x,,a,?,,,,,1 C,"(1966), 1972-"
AC_30163,Coclico,,,"Christen, Marlen",Würenlos,,"Christen, Marlen",AG,CH,x,,x,,na,?,,,,,1 R,(1987)-
AC_30164,Dalang Puppen Company,,,"Béraud, Frida + Jacobi, Frauke + Perrot, Anne",Zürich,,Zürich,ZH,CH,www.dalang.ch,,assitej Unima,,a,2004-,,,,,1 C,(2005)-(2012)
AC_30165,Figurentheater Kathrin Irion,,,"Irion, Kathrin",Zürich,,"Irion, Kathrin",ZH,CH,www.kathrin-irion.ch,,Unima,,a,2011-,,,,,,
AC_30166,Fidibus,,,"Tsiapis, Annina + Blaser, Jürg",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 R <Sammelcouvert>,(1993)-(1993)
AC_30167,Figurentheater Civetta,,,?,Zürich,,Zürich: Figurentheater Civetta,ZH,CH,x,,x,,na,?,,,,,1 R <Sammelcouvert>,(1989)-(1989)
AC_30168,Figurentheater Lupine,,,"Leuenberger, Kathrin + Keller, Bettina + Brändli, Mila",Zürich,,Bern: Figurentheater Lupine,ZH,CH,www.figurentheaterlupine.ch,,assitej Unima,,a,2000-,,,,,1 C,2000-
AC_30169,Fred Schneckenburgers Puppencabaret,,,"Schenckenbruger, Fred",Zürich,,Zürich,ZH,CH,x,,x,,na,1947-1964,,,,,x,x
AC_30170,Humms Marionettentheater,,,"Humm, Rudolf Jakob + Humm, Ambrosius",Zürich,,Zürich,ZH,CH,x,,x,,na,1940-1946,,,,,x,x
AC_30171,Kasperlitheater Holzöpfel,,,?,?,,Zürich,,CH,x,,x,,na,?,,,,,1 C,(1951)-(1951)
AC_30172,Malörli,Die glückliche Marionette-Lüüt,,"Bühler, Susi u.a.",Zürich (Oerlikon),,"Zürich <siehe auch: Bühler, Susi>",ZH,CH,x,,x,,na,?,,,,,1 C,"(1985), 1989, 1990, 1992, (1994)"
AC_30173,Marotte-Chischte,D'Marottechischte; Marottechischte,Figurentheater,"Drack, Lothar + Bühlmann, Werner",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,(1981)-(1986)
AC_30174,Marionettentheater 81,,,?,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 R,(1987)-
AC_30175,Marionettentheater Tobelhus,,,"Homberger, Christoph",Zürich,,"Homberger, Christoph",ZH,CH,x,,x,,na,?,,,,,x,x
AC_30176,Maske und Bewegung,,,"Bitzi, Daniela",Zürich,,Zürich,ZH,CH,x,,Unima,,a,?,,,,,x,x
AC_30177,Mattenhof-Marionetten,,,"Labhart, Ernst",Zürich (Schwamendingen),,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,-1956
AC_30178,"Puppentheater ""Der blaue Vogel""","Puppenbühne ""Der blaue Vogel""",,"Roedelberger, Herbert",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,(1985)-(1987)
AC_30179,Roca Puppenbühne,,,"Roca-Jerzö, Beatrice",Zürich,,?,ZH,CH,www.einzigartig-puppenbuehne.ch,,KTV Unima,,a,?,,,,,x,x
AC_30180,Schwarzes Theater Zürich,,,"Procházka, Jiří",Zürich <früher: Volketswil>,,"Procházka, Jiří",ZH,CH,x,,x,,na,1969-?,,,,,1 C,"(1975), 1977, 1981-(2003)"
AC_30181,Schweizerisches Marionettentheater im Kunstgewerbemuseum Zürich ,,inkl. Spielstätte,"Wolff, Werner + Morax, René + Bischoff, Henry + Isler, Albert + Urech, Rudolf + Baud-Bovy, Daniel, Cingria, Alexandre, Taeuber, Sophie + Morach, Otto u.a.",Zürich,,"Zürich: Marionetten- , Puppentheater Div.: Marionettentheater  Kunstgewerbemuseums Zürich",ZH,CH,x,,x,,na,1918-1935,,Zürcher Marionetten,,,1 C,(1923-(1941)
AC_30182,Theater Colibri,,,"Schluchter, Charli",Thalwil <später Zürich>,,Zürich: Theater Colibri <siehe auch unter Zürich: Spiel- und Puppentheater Charlie Schluchter>,ZH,CH,x,,x,,na,1985-1991?,Spiel- und Puppentheater Charli Schluchter,,,,1 C,"(1985), 1987-(1994)"
AC_30183,Theater Gustavs Schwestern,,,"Surer, Jacqueline + Grüter, Sibylle",Zürich,,Zürich: Theater Gustavs Schwestern,ZH,CH,www.gustavsschwestern.ch,,Unima      assitej,,a,2005-,,,,,1 C,2005-
AC_30184,Théâtre Johana ,,,"Bory, Johana + Larcher, Lukas",Zürich,,Zürich,ZH,CH,x,,x,,a,(noch existent?),,,,,x,x
AC_30185,Zürcher Marionetten,Zürcher Marionetten-Theater,,"Zimmermann, Wilhelm + Boller-Baer, Julia + Boller, Hans + Schneckenburger, Fred",Zürich,,"Zürich: Marionetten- , Puppentheater Div.: Zürcher Marionetten-Theater",ZH,CH,x,,x,,na,1942-?,Schweizerisches Marionettentheater im Kunstgewerbemuseum Zürich,,,,1 C,(1943)-(1958)
AC_30186,Wanderbühne Zürich,,,"Spörri, Reinhard + Städeli, Hans",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,(1952)-(1952)
AC_30187,Kasperle's Puppenbühne,,,"Liebe, Mario",o.O.,,"Liebe, Mario",,D,x,,x,,a,?,,,,,,
AC_30188,Figurentheater Therese Bachmann,,,"Bachmann, Therese",o.O.,,"Bachmann, Therese",,CH,www.figurentheater-theresebachmann.ch,,x,,a,?,,,,,,
AC_30189,Kasperlitheater Rugelimuzz,,,"Eberle, Cornelia + Signer, Beatrice",o.O.,,"Eberle, Cornelia",SG,CH,x,,x,,a,?,,,,,,
AC_30190,Marionettentheater Silberfaden,,,"Maag, Anne-Marie + Suter, Christine + Suter-Kuert, Daniel",o.O.,,"Maag, Anne-Marie",x,CH,x,,x,,a,(noch existent?),,,,,,
AC_30191,Puppentheater adoculos,,,"Ackermann-Ott, Madeleine + Ackermann-Ott, Werner",o.O.,,"Ackermann-Ott, Madeleine + Werner",x,CH,x,,x,,a,(noch existent?),,,,,,
AC_30192,Puppentheater Chnopf,,,"Schneiter, Marco + Tresch, Fabio",o.O.,,?,x,CH,www.puppentheaterchnopf.ch,,KTV,,a,?,,,,,x,x
AC_30193,Puppentheater Isabelle Roth,,,"Roth, Isabelle",o.O.,,"Roth, Isabelle",x,CH,x,,KTV,,a,?,,,,,,
AC_30194,Troupe des marionnettes d'Allaman,,,"Kreil, Sigrid",o.O.,,"Kreil, Sigrid",x,CH,x,,,,a,(noch existent?),,,,,x,x
