ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Bod_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_41445,Uniun da teater Cuschnaus,,,Morissen ; Cumbel,,Morissen ; Cumbel,GR,CH,www.teatercuschnaus.ch,,BVV,a,1988-,,,,,,
AC_41446,<Theatergruppe Skiclub Morschach>,,,Morschach,,Morschach: Skiclub Morschach,SZ,CH,www.skiclub-morschach.ch,,RZV,a,?,,,,,,
AC_41447,Groupe Théâtral des Mascarons,GTM; Maison des Mascarons,,Môtiers,,Môtiers <nicht ZSV>,NE,CH,www.mascarons.ch,,FSSTA,a,1972-,,,,,10 R <Sammelcouvert>,"(1985), 1986, 1990, 1992, 1995, 1996, 1999, 2003, 2007"
AC_41448,Atelier Théâtre Junior,ATJ,,Moudon,,?,VD,CH,www.arcencielmoudon.ch/index.php/atelier-theatre-junior,,x,a,?,,,,,,
AC_41449,L’Arc-en-Ciel,Les comédiens de l'Arc-en-Ciel,,Moudon,,Moudon: Théâtre de la Corde <nicht ZSV>,VD,CH,www.arcencielmoudon.ch,,FSSTA,a,1851-,,,,,10 R <Sammelcouvert>,"(1983), 1984, 1986, 1990, 1992, 1995, 2001, 2002"
AC_41450,L’Estrade,Troupe de l'Estrade,,Moutier,,Moutier <nicht ZSV>,BE,CH,www.lestrade.ch,,FSSTA,a,1986-,,,,,12 R <Sammelcouvert>,"(1991), 1992, 2001, 2002, 2014"
AC_41451,Freilichttheater Muhen,,,Muhen,,Muhen,AG,CH,x,,x,a,?,,,,,,
AC_41452,<Theatergruppe Turnverein STV Mühlau>,,,Mühlau,,Mühlau: Turnverein STV Mühlau,AG,CH,www.stv-muehlau.ch,,x,a,?,,,,,,
AC_41453,<Theatergruppe Trachtengruppe Mühlau>,,,Mühlau,,Mühlau: Trachtengruppe Mühlau,AG,CH,x,,x,a,?,,,,,,
AC_41454,Verein Flühlenmühle,,,Mühleberg,,Mühleberg,BE,CH,www.fluehlenmuehle.ch,,x,a,?,,,,,,
