Bemerkungen,Drucker,Grafiker,Masse,Plakatart,RepertorienID,Signatur,Technik,tempID,Verso
,A. Groux Lausanne,,51.3 x 34.7 cm,Stückplakat,100051995032801,PL 003.086,Offsetdruck,185,
,A. Groux Lausanne,,52.0 x 34.7 cm,Stückplakat,100051995012601,PL 003.087,Offsetdruck,186,
"Reprises, tournées jusqu' en 1975/76",A. Groux Lausanne,,54.0 x 36.0 cm,Stückplakat,100051974111501,PL 003.088,Offsetdruck,187,
,A. Groux Lausanne,,50.0 x 34.4 cm,Spielplanplakat,100051975042201,PL 003.089,Offsetdruck,188,
,A. Groux Lausanne,,50.0 x 35.0 cm,Stückplakat,100051975050901,PL 003.090,Offsetdruck,189,
,A. Groux Lausanne,,50.2 x 35.0 cm,Stückplakat,100051990042401,PL 003.091,Offsetdruck,190,
Reprise à Paris: Thèâtre Moderne 00.00.0000,A. Groux Lausanne,,48.3 x 34.8,Stückplakat,100051989030701,PL 003.092,Offsetdruck,191,
,A. Groux Lausanne,,49.00 x 35.00 cm,Stückplakat,100051988111101,PL 003.093,Offsetdruck,192,
Prod. Truppe: en collaboration avec le Musée de l'Art Brut,A. Groux Lausanne,,49.6 x 35.0 cm,Stückplakat,100051988100401,PL 003.094,Offsetdruck,193,
Plusieurs reprises jusqu'à fin 1988,A. Groux Lausanne,,51.8 x 35.0 cm,Stückplakat,100051987110301,PL 003.096,Offsetdruck,194,
,A. Groux Lausanne,,49.4 x 35.0 cm,Stückplakat,100051987100501,PL 003.098,Offsetdruck,195,
,A. Groux Lausanne,,48.0 x 35.0 cm,Spielplanplakat,100051987051101,PL 003.099,Offsetdruck,196,
"Zusammen mit ""Fragments""",A. Groux Lausanne,,50.5 x 36.0 cm,Spielplanplakat,100051980110702,PL 003.100,Offsetdruck,197,
,A. Groux Lausanne,,50.0 x 35.0 cm,Spielplanplakat,100051981011501,PL 003.101,Offsetdruck,198,
,A. Groux Lausanne,,48.4 x 35.0 cm,Vortragsplakat,100051981043001,PL 003.102,Offsetdruck,199,
,A. Groux Lausanne,,50.0 x 35.0 cm,Stückplakat,100051981100101,PL 003.103,Offsetdruck,200,
Prolongation en janvier 1982.,A. Groux Lausanne,,49.0 x 35.0 cm,Stückplakat,100051981111001,PL 003.104,Offsetdruck,201,
,A. Groux Lausanne,,49.0 x 35.0 cm,Stückplakat,100051981111001,PL 003.105,Offsetdruck,202,
,A. Groux Lausanne,,49.2 x 34.0 cm,Spielplanplakat,100051982030301,PL 003.106,Offsetdruck,203,
,A. Groux Lausanne,,48.5 x 34.3 cm,Stückplakat,100051982042001,PL 003.107,Offsetdruck,204,
,A. Groux Lausanne,,50.0 x 36.0 cm,Spielplanplakat,100051974100401,PL 003.108,Offsetdruck,205,
,A. Groux Lausanne,,46.0 x 43.7 cm,Stückplakat,100051983122701,PL 003.109,Offsetdruck,206,
+ reprise à partir du 30.4.85,A. Groux Lausanne,,46.8 x 35.0 cm,Stückplakat,100051984032001,PL 003.110,Offsetdruck,207,
+ reprise à partir du 30.4.85,A. Groux Lausanne,,49.8 x 36.0 cm,Stückplakat,100051984032001,PL 003.111,Offsetdruck,208,
,A. Groux Lausanne,,47.8 x 34.0 cm,Spielplanplakat,100051985030101,PL 003.112,Offsetdruck,209,
Prod. Truppe: B: Bruxelles: Théâtre Expérimental de Belgique,A. Groux Lausanne,,48.5 x 35.0 cm,Stückplakat,100051985092301,PL 003.113,Offsetdruck,210,
,A. Groux Lausanne,,49.7 x 35.0 cm,Stückplakat,100051985101701,PL 003.114,Offsetdruck,211,
Reprise en 1986,A. Groux Lausanne,,50.0 x 35.7 cm,Stückplakat,100051985110501,PL 003.115,Offsetdruck,212,
Prod. Truppe: 00; Atelier-Théâtre du Pilier,,,49.0 x 34.8 cm,Spielplanplakat,100051986031101,PL 003.116,Offsetdruck,213,
,A. Groux Lausanne,,49.3 x 34.8 cm,Stückplakat,100051986042901,PL 003.117,Offsetdruck,214,
Premiere: 27.4.1993,A. Groux Lausanne,,54.5 x 35.0 cm,Stückplakat,100051996041901,PL 003.118,Offsetdruck,215,
Premierendatum: 4.10.1993,A. Groux Lausanne,,52.0 x 35.0 cm,Spielplanplakat,100051993092801,PL 003.119,Offsetdruck,216,
